stop_id,name
KANSEN1,久司浦
KANSEN2,沢津
KANSEN3,高浜神社
KANSEN4,潮湯
KANSEN5,上弓削港
KANSEN6,おどり場
KANSEN7,緑ヶ丘住宅
KANSEN8,上弓削西
KANSEN9,引野
KANSEN10,弓削小学校
KANSEN11,明神
KANSEN12,弓削港務所
KANSEN13,弓削支所
KANSEN14,太田
KANSEN15,土生
KANSEN16,弓削商船南門
KANSEN17,フェスパ
KANSEN18,日比
KANSEN19,弓削大橋
KANSEN20,佐島港務所
KANSEN21,生名港務所
KANSEN22,海光園
KANSEN23,泉
KANSEN24,立石港務所
YUGE1,弓削港務所
YUGE2,弓削支所
YUGE3,江尻
YUGE4,三ッ子島
YUGE5,鎌田
YUGE6,阿土
YUGE7,大谷
YUGE8,上狩尾
YUGE9,下狩尾
IKINA1,立石港務所
IKINA2,保健センター
IKINA3,西浦住宅
IKINA4,西浦集会所
IKINA5,恵生団地
IKINA6,丸山
IKINA7,海光園
IKINA8,生名支所
IKINA9,泉
IKINA10,稲浦
IKINA11,スポレク公園